,fold,layer_size,momentum_value,activation_value,feature_number,score
617,7,100,0.9,relu,3,0.5733333333333334
618,8,100,0.9,relu,3,0.5942350332594235
619,9,100,0.9,relu,3,0.5711111111111111
620,0,100,0.9,relu,4,0.614190687361419
621,1,100,0.9,relu,4,0.62
622,2,100,0.9,relu,4,0.6119733924611973
623,3,100,0.9,relu,4,0.6133333333333333
624,4,100,0.9,relu,4,0.6186252771618626
625,5,100,0.9,relu,4,0.6133333333333333
626,6,100,0.9,relu,4,0.5764966740576497
627,7,100,0.9,relu,4,0.6133333333333333
628,8,100,0.9,relu,4,0.5831485587583148
629,9,100,0.9,relu,4,0.6111111111111112
630,0,100,0.9,relu,5,0.5986696230598669
